feature,importance
prev_24_hour_sales,0.8178276370363091
prev_hour_sales,0.04605157837540514
vehicle_count,0.030566851757297304
rolling_24h_mean,0.020695442724012077
month_cos,0.011026249854522756
hour_cos,0.010305171967503282
day,0.009535117057899223
prev_2_hour_sales,0.009220215886528394
weekday,0.009183373346431673
rolling_6h_mean,0.008635062777725827
rolling_3h_mean,0.008133722436765715
hour,0.006683763293558051
weekly_supply,0.004168826554762393
hour_sin,0.0034576688757073453
month,0.00170040335638599
month_sin,0.0009675590328651099
is_weekend,0.0008846990390822307
real_brent_price,0.0008530465521284329
is_holiday,0.00010361007510983462
event,0.0
